drug_name,num_prescriber,total_cost
WARFARIN SODIUM,3397,3532068.180000
TIVICAY,68,3489609.090000
ULORIC,394,3412979.530000
STRIBILD,55,3348233.470000
DULERA,407,3307827.390000
ADCIRCA,37,3300496.140000
PROLASTIN C,25,3295433.790000
XYREM,17,3269117.710000
NORVIR,170,3258867.580000
TRIUMEQ,44,3236904.150000
COMPLERA,57,3185841.200000
H.P. ACTHAR,5,3150903.830000
METOPROLOL TARTRATE,4708,3118313.120000
MONTELUKAST SODIUM,2690,3102197.170000
AUBAGIO,19,3074605.890000
COMBIGAN,352,3060117.500000
VYTORIN,417,3057854.470000
FUROSEMIDE,5095,3050446.120000
NEXAVAR,12,3046187.810000
ENOXAPARIN SODIUM,362,3041835.160000
GAMUNEX-C,16,3040400.830000
BREO ELLIPTA,279,3022015.750000
AZILECT,147,2966073.480000
HUMALOG MIX 75-25 KWIKPEN,178,2960975.360000
AVODART,429,2940153.370000
CIMZIA,38,2937324.360000
HUMULIN 70-30,379,2923491.550000
HUMULIN R U-500,49,2904282.930000
ESOMEPRAZOLE MAGNESIUM,549,2901092.020000
BD ULTRA-FINE PEN NEEDLE,1531,2884357.400000
FLOVENT HFA,489,2849343.410000
VALGANCICLOVIR HCL,37,2785383.710000
FLUTICASONE PROPIONATE,3335,2775786.430000
VENTOLIN HFA,1473,2762238.420000
PROCRIT,106,2720176.960000
DIVALPROEX SODIUM,1207,2699581.110000
CARVEDILOL,3904,2692170.670000
PREDNISOLONE ACETATE,381,2660641.120000
CHLORPROMAZINE HCL,201,2598851.630000
NUEDEXTA,161,2588527.390000
DALIRESP,264,2564928.210000
OLYSIO,5,2556003.060000
NOVOLOG MIX 70-30,219,2547501.610000
ENALAPRIL MALEATE,1911,2538805.820000
VICTOZA 2-PAK,217,2533170.240000
ALLOPURINOL,2842,2500743.990000
NASONEX,471,2489395.930000
METFORMIN HCL ER,1604,2471731.110000
BRILINTA,248,2429792.510000
NIFEDIPINE ER,1621,2424832.560000
LEVETIRACETAM,1535,2379330.270000
GAMMAKED,1,2365574.090000
OLANZAPINE,1138,2345271.950000
NOVOLIN 70-30,420,2331821.530000
QVAR,456,2317532.000000
OXYBUTYNIN CHLORIDE ER,1297,2296966.470000
ALPHAGAN P,251,2295710.040000
ANDROGEL,148,2294092.720000
CALCIUM ACETATE,384,2259601.870000
PRISTIQ ER,344,2237841.060000
COLCRYS,399,2236688.920000
CLOZAPINE,394,2221918.870000
NIACIN ER,494,2205498.360000
SIMPONI,26,2201454.540000
BUPROPION XL,1404,2193863.270000
VALSARTAN-HYDROCHLOROTHIAZIDE,1542,2184141.950000
AGGRENOX,266,2183129.000000
ESCITALOPRAM OXALATE,2650,2172413.110000
TUDORZA PRESSAIR,220,2171362.980000
OPANA ER,104,2154235.070000
TIKOSYN,88,2153175.050000
DOXYCYCLINE HYCLATE,1318,2147979.590000
ISOSORBIDE MONONITRATE ER,2339,2135018.900000
TIZANIDINE HCL,1309,2132024.780000
FOSRENOL,81,2130235.530000
LIALDA,134,2128506.920000
HUMULIN N,321,2117263.290000
SANTYL,230,2108879.630000
VIEKIRA PAK,5,2084656.040000
VIREAD,94,2079093.270000
SERTRALINE HCL,3422,2078810.820000
VENLAFAXINE HCL ER,1900,2076665.630000
TOLTERODINE TARTRATE ER,495,2072454.130000
ZIPRASIDONE HCL,505,2035450.220000
ALPRAZOLAM,3213,2029609.380000
PATADAY,327,2028274.780000
TRAMADOL HCL,3900,2008024.420000
MIRTAZAPINE,2056,1992794.320000
SPIRIVA RESPIMAT,190,1986269.510000
EXJADE,14,1982775.050000
HYDRALAZINE HCL,2185,1973783.180000
AMPYRA,39,1923917.610000
HYDROCHLOROTHIAZIDE,4286,1909567.330000
HUMALOG MIX 75-25,145,1902282.360000
ADVAIR HFA,204,1884442.130000
NEULASTA,11,1881547.300000
PREDNISONE,4401,1836120.160000
COLCHICINE,414,1833038.470000
DIOVAN,385,1798765.280000
INTELENCE,60,1777463.610000
ZOLPIDEM TARTRATE,3063,1755182.710000
CARBIDOPA-LEVODOPA,954,1740197.790000
PROLIA,59,1734600.890000
FLUOXETINE HCL,2500,1728532.160000
DIGOXIN,1205,1722983.050000
TRAZODONE HCL,3236,1720914.140000
BUDESONIDE EC,98,1718492.240000
RANITIDINE HCL,2681,1716165.860000
MEMANTINE HCL,626,1699759.340000
BACLOFEN,1634,1696635.570000
ATENOLOL,3384,1665545.320000
DOXAZOSIN MESYLATE,1420,1636216.730000
RISPERIDONE,1520,1621231.730000
ARALAST NP,7,1617291.080000
ECONAZOLE NITRATE,191,1617253.190000
LATANOPROST,969,1613627.830000
LOSARTAN-HYDROCHLOROTHIAZIDE,2281,1593093.140000
SAPHRIS,109,1567438.780000
URSODIOL,198,1555539.480000
THALOMID,12,1552158.110000
JANUMET XR,167,1541117.220000
AMLODIPINE BESYLATE-BENAZEPRIL,1123,1528340.240000
FINASTERIDE,1641,1514797.460000
GLIMEPIRIDE,1957,1496155.790000
PIOGLITAZONE HCL,1076,1490169.650000
SUTENT,10,1472530.840000
XENAZINE,10,1464857.250000
STELARA,5,1450755.730000
EXEMESTANE,121,1446598.990000
LIDOCAINE-PRILOCAINE,303,1444981.710000
AZOR,215,1440482.950000
KEPPRA,59,1418277.910000
MODAFINIL,169,1416505.470000
CARBAMAZEPINE,726,1382781.640000
PAROXETINE HCL,2197,1380587.820000
POLYETHYLENE GLYCOL 3350,1464,1374020.400000
LANSOPRAZOLE,1017,1368634.360000
AMITRIPTYLINE HCL,2000,1362553.140000
REBIF REBIDOSE,12,1362151.250000
AZOPT,155,1358058.630000
ONFI,37,1357898.200000
CITALOPRAM HBR,3038,1355849.800000
TOVIAZ,216,1350387.880000
DILTIAZEM 24HR ER,901,1345525.140000
LORAZEPAM,2939,1344381.640000
PROSOL,82,1327956.680000
OXYBUTYNIN CHLORIDE,1370,1323412.020000
CLONAZEPAM,2798,1299305.010000
ZOSTAVAX,216,1295044.010000
GATTEX,3,1293585.590000
ASACOL HD,102,1291645.420000
HIZENTRA,3,1290251.580000
ALENDRONATE SODIUM,2677,1281169.990000
RIVASTIGMINE,274,1280766.710000
FANAPT,53,1260977.920000
GLUMETZA,26,1234191.020000
CUBICIN,24,1230219.160000
AZITHROMYCIN,3354,1220162.340000
DIGOX,993,1219900.240000
ATROVENT HFA,183,1202232.790000
BUDESONIDE,146,1199393.780000
ZEMAIRA,8,1187898.880000
LAMICTAL,50,1187622.770000
BYDUREON PEN,81,1179508.990000
ADEMPAS,9,1176170.680000
ARANESP,41,1174704.370000
LOVASTATIN,2047,1149444.020000
CLONIDINE,391,1133130.330000
LABETALOL HCL,898,1130290.530000
SUSTIVA,61,1128513.490000
MYALEPT,1,1125671.400000
LEFLUNOMIDE,131,1114566.230000
AMIODARONE HCL,1217,1111134.610000
CYCLOBENZAPRINE HCL,1932,1105698.920000
BANZEL,23,1098840.910000
BRIMONIDINE TARTRATE,406,1095618.540000
KOMBIGLYZE XR,111,1092680.770000
NEUPRO,77,1088976.640000
JENTADUETO,83,1079268.320000
RAPAFLO,118,1076925.250000
KALETRA,49,1074326.060000
CARAFATE,224,1066029.020000
ANORO ELLIPTA,121,1063163.990000
LISINOPRIL-HYDROCHLOROTHIAZIDE,2573,1061702.400000
LAMICTAL XR,17,1060056.100000
METHYLPREDNISOLONE,1509,1059510.570000
BUMETANIDE,764,1052776.640000
LEVOFLOXACIN,2561,1047173.150000
SPIRONOLACTONE,2449,1042792.280000
VANCOMYCIN HCL,213,1038792.090000
VIGAMOX,107,1037240.160000
NOVOLIN R,287,1033530.250000
BYETTA,87,1031252.720000
INSULIN SYRINGE,1068,1027334.380000
GLASSIA,6,1020569.350000
DUREZOL,102,1018300.460000
RENAGEL,46,1011441.690000
KLOR-CON M20,1291,1005681.990000
CLOTRIMAZOLE-BETAMETHASONE,766,1005450.770000
MELOXICAM,2590,1001853.630000
BUSPIRONE HCL,1392,995777.800000
PHENYTOIN SODIUM EXTENDED,937,992817.130000
FAZACLO,20,971462.550000
TACROLIMUS,98,970198.000000
ILEVRO,61,969368.260000
ROPINIROLE HCL,1423,968055.910000
DILTIAZEM 24HR CD,1086,964328.940000
SOLIRIS,2,963237.740000
NOVOLIN N,249,959372.650000
NUVIGIL,67,955368.420000
OLANZAPINE ODT,125,954096.890000
PENTASA,67,945779.600000
REMICADE,9,945121.150000
TRIBENZOR,143,944805.340000
DEXTROAMPHETAMINE-AMPHETAMINE,472,936851.190000
SUMATRIPTAN SUCCINATE,696,928797.740000
CARTIA XT,948,927771.330000
CARBAMAZEPINE ER,280,926106.150000
BUTRANS,108,925097.770000
FAMOTIDINE,1968,916435.780000
HALOPERIDOL,624,909110.580000
PROPRANOLOL HCL ER,509,904396.110000
RAMIPRIL,1302,903837.790000
TRIAMCINOLONE ACETONIDE,1624,903806.120000
FLUOCINONIDE,305,903080.720000
IBANDRONATE SODIUM,472,900562.940000
ICLUSIG,4,889091.320000
HUMULIN R,260,888363.760000
GLIPIZIDE,2358,886333.240000
TEMAZEPAM,1412,878182.000000
LOTEMAX,120,869710.610000
FENOFIBRIC ACID,310,869136.190000
NEUPOGEN,18,862084.390000
CALCITRIOL,590,861668.380000
LAMOTRIGINE,1250,859138.410000
TRIAMTERENE-HYDROCHLOROTHIAZID,1849,851870.760000
METRONIDAZOLE,918,851663.570000
APRISO,101,849040.740000
SAMSCA,5,845821.450000
GILOTRIF,9,845382.300000
TAMIFLU,193,844756.020000
IBUPROFEN,2750,838437.250000
BYDUREON,72,833421.670000
CIPROFLOXACIN HCL,3207,829419.480000
JALYN,105,827011.680000
CLONIDINE HCL,2344,826459.450000
PATANOL,161,824732.200000
BUPROPION HCL SR,1194,824383.370000
KETOCONAZOLE,736,820436.020000
CHLORTHALIDONE,764,817694.420000
ISOSORBIDE DINITRATE,549,817181.490000
OXYMORPHONE HCL ER,84,811425.490000
VELPHORO,30,809665.170000
DAKLINZA,2,807925.100000
VIIBRYD,161,801807.850000
TOPIRAMATE,1329,795135.430000
LIDODERM,104,793836.350000
DEXTROAMPHETAMINE-AMPHET ER,226,793666.300000
ONDANSETRON HCL,1095,790938.410000
AMOXICILLIN-CLAVULANATE POTASS,1945,784930.960000
PARICALCITOL,103,780739.130000
AMANTADINE,289,770593.260000
BRINTELLIX,108,765608.410000
ENTACAPONE,121,764901.430000
CLOMIPRAMINE HCL,85,762069.210000
MIDODRINE HCL,409,762017.460000
TIMOLOL MALEATE,512,756830.360000
ACETAMINOPHEN-CODEINE,1645,751912.070000
NITROSTAT,1093,747119.690000
METOLAZONE,674,735622.070000
OXCARBAZEPINE,616,735467.830000
NYSTATIN,982,731202.220000
PRAMIPEXOLE DIHYDROCHLORIDE,872,730952.710000
AZELASTINE HCL,369,730726.980000
LAMOTRIGINE ER,45,729344.750000
PROMACTA,10,726168.810000
ESTRACE,140,725736.010000
BUPRENORPHINE-NALOXONE,72,723491.090000
COREG CR,125,722653.430000
SUCRALFATE,756,708654.290000
DORZOLAMIDE-TIMOLOL,381,702391.550000
VERAPAMIL ER,1168,694344.700000
SUPREP,124,693862.610000
ORENITRAM ER,7,688470.310000
VALCYTE,10,687976.430000
AMLODIPINE-VALSARTAN,247,681470.910000
TOUJEO SOLOSTAR,50,677748.240000
TOPAMAX,38,673183.310000
ENTECAVIR,34,668187.670000
STRATTERA,85,665120.420000
MECLIZINE HCL,1311,664139.860000
ASMANEX,140,663107.820000
PROPRANOLOL HCL,1272,661414.910000
AVASTIN,4,654039.090000
GLIPIZIDE ER,1136,653776.940000
LIVALO,151,651644.910000
NYSTATIN-TRIAMCINOLONE,203,650986.240000
ACYCLOVIR,742,648737.550000
FARXIGA,77,646997.170000
PREZCOBIX,19,646571.440000
SELZENTRY,26,645956.960000
GALANTAMINE HBR,195,630662.640000
FLUOROURACIL,111,627928.090000
ACTEMRA,12,623288.210000
NITROFURANTOIN MONO-MACRO,728,622349.960000
TAFINLAR,3,616088.580000
VAGIFEM,102,614835.340000
CIALIS,113,614471.830000
MEKINIST,3,609521.870000
VALACYCLOVIR,699,608830.100000
CARBIDOPA-LEVODOPA ER,279,588054.230000
RISEDRONATE SODIUM,130,585758.000000
TOPROL XL,441,584882.900000
CARBIDOPA-LEVODOPA-ENTACAPONE,78,578735.130000
LYNPARZA,6,577694.950000
ZENPEP,40,568027.540000
XOLAIR,14,567217.840000
VPRIV,1,567047.040000
BENZTROPINE MESYLATE,800,566213.660000
LUPRON DEPOT,14,564556.410000
VOTRIENT,5,560585.660000
BETAMETHASONE DIPROPIONATE,231,559639.290000
PROLENSA,63,552009.440000
CHANTIX,113,547562.530000
CEFUROXIME,474,546033.450000
GLIPIZIDE-METFORMIN,235,545252.400000
FLUCONAZOLE,1290,545230.510000
NADOLOL,281,543413.960000
IRBESARTAN,737,538546.480000
INVEGA TRINZA,5,538413.430000
FLECAINIDE ACETATE,319,534093.750000
ESTRADIOL,778,534030.740000
REPAGLINIDE,217,533966.700000
PERCOCET,23,533112.740000
CHOLESTYRAMINE,225,528269.130000
LACTULOSE,854,526260.470000
METHADONE HCL,485,525864.620000
PROPAFENONE HCL ER,53,524450.270000
ELMIRON,33,523535.390000
NIFEDICAL XL,679,519546.460000
FONDAPARINUX SODIUM,19,513998.340000
INVANZ,55,512995.870000
OTEZLA,13,511842.100000
CELEBREX,93,510723.090000
ENDOCET,172,510455.250000
XGEVA,8,504993.940000
VASCEPA,82,500296.060000
COUMADIN,233,498336.940000
NAPROXEN,1858,494806.590000
POTASSIUM CITRATE ER,144,488748.750000
GEMFIBROZIL,1059,487918.130000
BENAZEPRIL HCL,1497,485382.430000
NEVANAC,39,484915.670000
VIMOVO,16,482050.440000
DILTIAZEM ER,598,482027.390000
ANASTROZOLE,404,481326.590000
SILDENAFIL,68,480646.440000
RAVICTI,1,480637.520000
TARGRETIN,1,475598.150000
DESONIDE,119,475218.720000
CAPTOPRIL,241,472593.700000
ATOVAQUONE,18,472364.930000
XALKORI,4,471311.140000
SEROSTIM,3,468424.790000
ALBUTEROL SULFATE,385,468089.290000
CEPHALEXIN,2194,462462.250000
HYDROMORPHONE ER,23,462165.170000
BUTALBITAL-ACETAMINOPHEN-CAFFE,396,457894.320000
STIVARGA,3,457174.710000
KETOROLAC TROMETHAMINE,209,452635.250000
TORSEMIDE,666,451529.530000
VIAGRA,46,451169.010000
SAVELLA,108,447645.320000
HUMULIN 70/30 KWIKPEN,55,440127.310000
IPRATROPIUM-ALBUTEROL,379,439085.290000
NORTHERA,3,437271.570000
ROZEREM,93,430629.910000
METHYLPHENIDATE HCL,335,429479.580000
PREVACID,54,429397.120000
ELELYSO,1,427113.540000
LENVIMA,1,426959.450000
KEPPRA XR,15,423501.390000
NUCYNTA ER,41,422232.730000
CALCIPOTRIENE,43,421696.700000
DIAZEPAM,1702,421207.020000
VENLAFAXINE HCL,553,420404.750000
PERPHENAZINE,180,419783.290000
LAMIVUDINE-ZIDOVUDINE,48,417221.090000
MYCOPHENOLATE MOFETIL,179,414392.570000
VYVANSE,81,414351.190000
SULFAMETHOXAZOLE-TRIMETHOPRIM,2206,410258.380000
APIDRA SOLOSTAR,28,410080.220000
AMOXICILLIN,2745,405602.360000
MUPIROCIN,825,404648.030000
VELCADE,3,403304.660000
NUCYNTA,40,400341.390000
TOBRAMYCIN-DEXAMETHASONE,159,399553.940000
CICLOPIROX,204,399127.320000
ZYPREXA RELPREVV,8,394094.520000
GLIPIZIDE XL,720,390824.940000
SOMAVERT,4,389786.280000
SOTALOL,602,389646.540000
DOXEPIN HCL,510,386220.960000
DRONABINOL,62,383878.060000
JUXTAPID,1,382353.760000
WELLBUTRIN XL,19,381004.130000
HYDROMORPHONE HCL,484,379414.970000
LEXIVA,19,378536.740000
NOXAFIL,4,372598.630000
ZYDELIG,2,368360.360000
NABUMETONE,433,367498.130000
NATEGLINIDE,156,363009.430000
FELODIPINE ER,378,362945.220000
CILOSTAZOL,600,361486.710000
BENAZEPRIL-HYDROCHLOROTHIAZIDE,261,361250.270000
QUINAPRIL HCL,754,360718.480000
ETODOLAC,204,359227.970000
HUMULIN N KWIKPEN,37,349664.340000
LEVOCETIRIZINE DIHYDROCHLORIDE,445,349337.450000
HERCEPTIN,4,348150.570000
ESZOPICLONE,309,345994.030000
TEGRETOL XR,79,345608.020000
MOVIPREP,83,343062.560000
PRIMIDONE,573,342641.370000
VORICONAZOLE,14,342618.200000
DELZICOL,48,342555.920000
CEFDINIR,343,339617.810000
ACETAZOLAMIDE,149,338616.360000
OFLOXACIN,222,335662.810000
BARACLUDE,7,335247.310000
TERAZOSIN HCL,1117,334276.220000
HYDROXYZINE HCL,689,328646.010000
ABACAVIR,45,326900.500000
APOKYN,1,326394.630000
RITUXAN,4,325803.430000
MYCOPHENOLIC ACID,18,324834.630000
EPIPEN 2-PAK,34,324276.720000
SIMBRINZA,76,322322.270000
THEOPHYLLINE ANHYDROUS,359,321602.680000
TELMISARTAN,223,321423.360000
CANASA,25,319523.630000
BIDIL,63,319142.550000
PILOCARPINE HCL,125,319121.420000
TRAMADOL HCL-ACETAMINOPHEN,407,317763.980000
ERIVEDGE,3,317419.630000
BUPROPION HCL,425,316941.770000
TRANSDERM-SCOP,113,316624.120000
FETZIMA,52,315853.710000
ZYPREXA,26,315401.650000
KADIAN,9,310858.730000
METHENAMINE HIPPURATE,124,307559.750000
JARDIANCE,26,305079.990000
TRULICITY,24,304886.020000
HALOPERIDOL DECANOATE,134,304444.830000
BESIVANCE,38,304259.180000
AZATHIOPRINE,255,303659.760000
DEPAKOTE ER,44,302692.490000
OXYCODONE HCL ER,33,301954.630000
PHENOBARBITAL,411,299904.410000
GLUCAGEN,50,297110.010000
KALBITOR,1,295658.360000
MEGESTROL ACETATE,396,294510.050000
DILTIAZEM HCL,659,291432.750000
KLOR-CON M10,560,290138.010000
TAMOXIFEN CITRATE,249,289615.960000
HUMALOG MIX 50-50 KWIKPEN,16,288734.290000
GRALISE,25,286743.830000
IPRATROPIUM BROMIDE,377,286646.150000
NITROGLYCERIN PATCH,363,286592.300000
TEKTURNA,93,286261.320000
AMMONIUM LACTATE,291,285650.880000
METHYLPHENIDATE ER,77,283569.320000
NITROFURANTOIN,306,282163.380000
CEVIMELINE HCL,51,281447.490000
ZOLPIDEM TARTRATE ER,198,279652.440000
PREMPRO,105,276938.310000
ONDANSETRON ODT,524,276748.590000
PYRIDOSTIGMINE BROMIDE,137,276507.200000
HYDROCORTISONE,539,276385.910000
CARBIDOPA,8,276112.280000
DIPHENOXYLATE-ATROPINE,425,275853.890000
DILANTIN,194,275025.710000
ERBITUX,2,274921.420000
TROKENDI XR,16,273360.060000
NYSTOP,304,271677.230000
PIOGLITAZONE-METFORMIN,72,271267.460000
FORADIL,51,269062.950000
CARISOPRODOL,492,268671.250000
MORPHINE SULFATE,408,266788.180000
FYCOMPA,11,265770.390000
TOLTERODINE TARTRATE,144,263183.230000
BISOPROLOL FUMARATE,299,261849.440000
PROMETHAZINE HCL,772,260359.030000
EDURANT,15,258985.310000
TRELSTAR,3,255728.010000
DESMOPRESSIN ACETATE,124,253786.990000
SPORANOX,4,253416.050000
ATELVIA,46,252759.920000
CIPRODEX,63,250897.740000
CEFTRIAXONE,163,249664.180000
HETLIOZ,2,249555.950000
AMLODIPINE-ATORVASTATIN,63,248181.100000
ERYTHROMYCIN,218,247417.300000
HUMALOG MIX 50-50,14,246413.940000
NORTRIPTYLINE HCL,758,245865.330000
LOVAZA,62,242908.340000
ORKAMBI,1,241844.820000
FERRIPROX,1,240274.150000
CYMBALTA,57,239894.300000
ACTONEL,48,239299.730000
ALCOHOL PREP PADS,235,238278.590000
FLECTOR,23,238109.990000
XOPENEX HFA,159,235431.190000
SEREVENT DISKUS,50,235421.350000
INLYTA,2,234031.070000
BALSALAZIDE DISODIUM,71,233096.100000
AMLODIPINE-VALSARTAN-HCTZ,71,232972.890000
PROTONIX,54,232857.210000
LAMIVUDINE,41,232466.020000
GLYBURIDE,513,232166.380000
HYDROXYUREA,240,231154.990000
ENABLEX,49,230296.460000
ZONEGRAN,9,228216.780000
DESOXIMETASONE,68,227738.950000
DICYCLOMINE HCL,880,227713.030000
NILANDRON,3,227455.800000
DEPAKOTE,30,227440.840000
DURAGESIC,13,227359.470000
ASPIRIN-DIPYRIDAMOLE ER,43,226206.260000
LETROZOLE,227,224804.350000
DICLOFENAC POTASSIUM,142,224171.830000
SEROQUEL,24,223612.780000
DORZOLAMIDE HCL,251,222527.880000
GLUCAGON EMERGENCY KIT,40,222241.620000
FLUOROMETHOLONE,62,222118.630000
RISPERIDONE ODT,55,221928.870000
TESTOSTERONE CYPIONATE,206,221445.050000
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,12,218627.830000
FELBATOL,3,218147.270000
EXFORGE,52,216329.100000
CLOZAPINE ODT,15,213075.370000
ALIMTA,3,211871.740000
ACITRETIN,16,211077.240000
ATENOLOL-CHLORTHALIDONE,391,210740.680000
PROVENTIL HFA,140,209045.010000
RYTARY,11,208715.440000
ADCETRIS,1,208201.730000
COLESTIPOL HCL,111,205365.870000
APTIOM,16,204678.190000
CALCITONIN-SALMON,151,204390.930000
AVONEX ADMINISTRATION PACK,3,204085.490000
TELMISARTAN-HYDROCHLOROTHIAZID,99,203690.050000
ROPINIROLE ER,43,203607.920000
CLINDAMYCIN PHOSPHATE,120,202735.830000
DYMISTA,53,201379.950000
INVOKAMET,27,200801.590000
NEVIRAPINE ER,17,199893.460000
CLOTRIMAZOLE,256,199697.520000
DOXERCALCIFEROL,14,199456.310000
BETHANECHOL CHLORIDE,116,196066.430000
DUEXIS,9,194778.380000
KUVAN,1,194037.430000
PROCTOZONE-HC,129,193837.180000
MEROPENEM,43,192704.700000
DIGITEK,247,192251.320000
LIPITOR,42,192244.230000
REVATIO,5,191132.690000
FLOVENT DISKUS,54,190506.620000
METHOCARBAMOL,442,190367.310000
METOCLOPRAMIDE HCL,852,189944.010000
TRILEPTAL,12,188766.820000
FELBAMATE,16,188532.000000
FLUOCINOLONE ACETONIDE,48,188046.790000
PRAZOSIN HCL,264,187942.050000
ZYVOX,3,186619.470000
LEVETIRACETAM ER,74,185655.390000
RELPAX,27,185466.870000
TYVASO,1,185270.800000
PROGRAF,14,183982.550000
PERMETHRIN,71,182140.220000
BENLYSTA,5,181619.060000
PLAVIX,60,180274.290000
PULMICORT FLEXHALER,55,179471.810000
ZONISAMIDE,194,178907.550000
SPIRONOLACTONE-HCTZ,141,178795.730000
UCERIS,8,178534.510000
SIROLIMUS,11,177409.180000
LIOTHYRONINE SODIUM,187,177155.010000
EPLERENONE,76,176750.930000
PHENYTOIN,224,176437.750000
